"month","avg_wt","sum_wt","nobs"
1976-01-01,1767.7917660023,112465144.3613,63619
1976-02-01,1785.04054537661,112216573.8851,62865
1976-03-01,1784.09227585454,112481665.715801,63047
1976-04-01,1793.97484676394,112704675.773098,62824
1976-05-01,1785.95745167415,112599259.4557,63047
1976-06-01,1791.35973398531,113110036.3233,63142
1976-07-01,1810.9048220737,113091006.138502,62450
1976-08-01,1822.53289804402,113212098.560699,62118
1976-09-01,1772.17794353362,113543440.842199,64070
1976-10-01,1758.0488411298,113963758.077398,64824
1976-11-01,1753.97041993114,114137871.106599,65074
1976-12-01,NA,NA,NA
1977-01-01,NA,NA,NA
1977-02-01,1778.0572167711,114362862.1255,64319
1977-03-01,1788.18868070476,114481627.527399,64021
1977-04-01,NA,NA,NA
1977-05-01,1538.87088326496,114805923.375099,74604
1977-06-01,NA,NA,NA
1977-07-01,NA,NA,NA
1977-08-01,NA,NA,NA
1977-09-01,NA,NA,NA
1977-10-01,NA,NA,NA
1977-11-01,NA,NA,NA
1977-12-01,1534.37939378872,116104954.348599,75669
1978-01-01,1553.28965434243,115322437.097,74244
1978-02-01,1573.65861334445,115791374.428498,73581
1978-03-01,1578.18615300961,116124515.3246,73581
1978-04-01,1590.33124404893,116340682.158399,73155
1978-05-01,1607.90621311918,116237148.052599,72291
1978-06-01,1588.98488647217,116544096.498302,73345
1978-07-01,1585.63515148413,117043658.706801,73815
1978-08-01,1594.90582286728,116699259.059199,73170
1978-09-01,1564.68507699294,117097901.791997,74838
1978-10-01,1563.7271779472,117324886.4342,75029
1978-11-01,1543.35034757573,117584776.2811,76188
1978-12-01,1574.50332411993,117676803.941399,74739
1979-01-01,1577.83797992272,117976523.596802,74771
1979-02-01,1597.08141547488,117704900.320499,73700
1979-03-01,1612.11176305298,117817963.979201,73083
1979-04-01,1614.98987453932,118222103.785902,73203
1979-05-01,1625.38185127633,118051483.8582,72630
1979-06-01,1600.71390051252,118681730.7257,74143
1979-07-01,1610.77494444129,118923514.1481,73830
1979-08-01,1600.3773341953,118823215.931998,74247
1979-09-01,1585.08453453422,118882925.174601,75001
1979-10-01,1599.10507102816,119232472.306002,74562
1979-11-01,1580.23310822338,119544634.637099,75650
1979-12-01,1581.43672156738,119887136.425302,75809
1980-01-01,1382.50850362477,122697629.696699,88750
1980-02-01,1391.48710583604,122481478.0299,88022
1980-03-01,1408.45523656987,122675042.649999,87099
1980-04-01,1400.4329693927,123121865.370098,87917
1980-05-01,1399.30297290026,122938561.290098,87857
1980-06-01,1398.98379035248,123402961.163202,88209
1980-07-01,1430.61911762364,123306492.367099,86191
1980-08-01,1429.04602606158,123611052.208301,86499
1980-09-01,1403.46524734383,123826335.307898,88229
1980-10-01,1390.72279765395,124190155.1077,89299
1980-11-01,1394.78478457,124102370.9919,88976
1980-12-01,1413.57061171483,124381491.6954,87991
1981-01-01,1388.94880569427,124667877.952701,89757
1981-02-01,1411.60155800981,124676884.4081,88323
1981-03-01,1439.20160736504,124788853.769801,86707
1981-04-01,1558.97778422411,124899064.160898,80116
1981-05-01,1556.23933282865,124883537.741501,80247
1981-06-01,1554.39059140239,125235695.5587,80569
1981-07-01,1559.54548849075,125476351.3675,80457
1981-08-01,1572.71790721873,125403807.7679,79737
1981-09-01,1555.78464412262,125576713.335002,80716
1981-10-01,1541.34651935741,125928010.6315,81700
1981-11-01,1539.21018093732,125953569.106101,81830
1981-12-01,1566.78303636115,126157370.0878,80520
1982-01-01,1564.94464472776,126492910.6887,80829
1982-02-01,1587.44815978827,126394209.930501,79621
1982-03-01,1610.05655296598,126455451.726501,78541
1982-04-01,1584.87413630185,126587067.014701,79872
1982-05-01,1569.54942390611,126661068.959799,80699
1982-06-01,1573.60789052222,126765130.836799,80557
1982-07-01,1583.59829301674,126901649.210896,80135
1982-08-01,1607.57437606408,126982299.965302,78990
1982-09-01,1573.00078937394,127203854.834302,80867
1982-10-01,1564.81356263881,127375823.998799,81400
1982-11-01,1561.46862528988,127523581.158799,81669
1982-12-01,1597.39968106029,127692935.704598,79938
1983-01-01,1585.62762167239,127787315.6582,80591
1983-02-01,1606.18488981029,127773614.169299,79551
1983-03-01,1624.71553517643,127731885.944501,78618
1983-04-01,1610.67821918034,128003819.4347,79472
1983-05-01,1609.20896373404,128054412.4981,79576
1983-06-01,1608.12928631761,128240269.937398,79745
1983-07-01,1622.08975131076,128579810.406901,79268
1983-08-01,1646.47231417554,128530214.733799,78064
1983-09-01,1610.14632305668,128404338.824801,79747
1983-10-01,1606.24897254769,128787436.369901,80179
1983-11-01,1608.12632877445,128892933.377601,80151
1983-12-01,1620.84784872643,128286865.530999,79148
1984-01-01,1615.50819552079,128686536.3306,79657
1984-02-01,1639.16218815196,128664396.7968,78494
1984-03-01,1639.88491496886,128560417.793899,78396
1984-04-01,1646.89514727761,128731206.082102,78166
1984-05-01,1650.22269101843,128687665.891,77982
1984-06-01,1656.86973750577,128871328.183199,77780
1984-07-01,1670.29913056303,128965466.169902,77211
1984-08-01,1667.09846571668,128925059.846199,77335
1984-09-01,1655.17114786262,129090108.164101,77992
1984-10-01,1658.84876754056,129265790.210598,77925
1984-11-01,1645.50541770918,129695446.013002,78818
1984-12-01,1639.34866721967,129746250.267101,79145
1985-01-01,1641.15050803772,129532727.298401,78928
1985-02-01,1647.4178377036,129259698.3819,78462
1985-03-01,1658.28058285969,129476889.629101,78079
1985-04-01,1663.2368004733,129670930.6753,77963
1985-05-01,1679.63091571222,129669186.323899,77201
1985-06-01,NA,NA,NA
1985-07-01,1691.66817121927,130586632.809101,77194
1985-08-01,1677.79854482286,130651850.483901,77871
1985-09-01,NA,NA,NA
1985-10-01,1663.51746056193,130970393.187501,78731
1985-11-01,1643.87653297746,131031754.567101,79709
1985-12-01,1681.30688404325,131160431.331098,78011
1986-01-01,1681.27144611466,131461976.914598,78192
1986-02-01,1701.28636001634,131244034.9571,77144
1986-03-01,1709.2875634767,131386097.8542,76866
1986-04-01,1695.7790501891,131836646.477901,77744
1986-05-01,1706.03828036361,131738569.971398,77219
1986-06-01,1750.84713537742,131907072.332199,75339
1986-07-01,1758.21239645106,132375811.328801,75290
1986-08-01,1727.85268031816,132509022.0536,76690
1986-09-01,1722.33527820215,132301184.395098,76815
1986-10-01,1707.95976676682,132419828.677198,77531
1986-11-01,1715.6083895624,132825832.7367,77422
1986-12-01,1730.54538400085,132696489.499801,76679
1987-01-01,1730.0926449603,132957619.765199,76850
1987-02-01,1758.13112741018,132689672.447901,75472
1987-03-01,1761.01670762091,132800030.938401,75411
1987-04-01,1720.85701132762,133337163.808698,77483
1987-05-01,1729.17275563097,133028718.436202,76932
1987-06-01,1751.35285667652,133099314.401702,75998
1987-07-01,1753.58203190919,133272234.425098,76000
1987-08-01,1735.99152139782,133879666.1302,77120
1987-09-01,1728.99622583626,133200140.2422,77039
1987-10-01,1727.34062212684,133164143.241002,77092
1987-11-01,1730.52500868499,133660560.095802,77237
1987-12-01,1742.54581268419,133519087.805301,76623
1988-01-01,1741.341390599,133606159.535099,76726
1988-02-01,1770.00031105821,133459793.4541,75401
1988-03-01,1894.72438795305,133356386.597299,70383
1988-04-01,1869.18952441186,133796586.157401,71580
1988-05-01,1885.32334901281,133303672.7153,70706
1988-06-01,1889.01305983993,133825241.2113,70844
1988-07-01,1896.86975331957,134169391.3918,70732
1988-08-01,1892.40596219901,134131842.194704,70879
1988-09-01,1854.09817765392,134414701.487198,72496
1988-10-01,1854.35482155896,134602053.4325,72587
1988-11-01,1840.03343325989,135303178.447899,73533
1988-12-01,1874.99378925047,135057677.633501,72031
1989-01-01,1877.57458049562,135540231.391398,72189
1989-02-01,1911.26392690799,135204721.453398,70741
1989-03-01,1923.07943917033,135552100.428799,70487
1989-04-01,1865.08059706247,135746161.095998,72783
1989-05-01,1859.88894569816,135626821.698201,72922
1989-06-01,1845.23212781126,136034202.926502,73722
1989-07-01,1853.6883351732,136212726.245197,73482
1989-08-01,1854.83868089043,136024594.6631,73335
1989-09-01,1817.52369073666,136265203.6656,74973
1989-10-01,1800.99039526628,136205301.613199,75628
1989-11-01,1784.07195681283,136381596.6666,76444
1989-12-01,1787.41146803704,136951466.680998,76620
1990-01-01,1796.62993956828,137488902.755402,76526
1990-02-01,1812.81279809207,137391269.1546,75789
1990-03-01,1810.30971233693,137509315.439401,75959
1990-04-01,1787.32375869244,137784788.5576,77090
1990-05-01,1813.16587077603,137737145.373501,75965
1990-06-01,1803.52947527321,137802276.6172,76407
1990-07-01,1819.48450734691,138339046.0626,76032
1990-08-01,1809.43506958509,138342167.680198,76456
1990-09-01,1796.46227707289,138555746.043801,77127
1990-10-01,1796.98879363421,138519084.168499,77084
1990-11-01,1783.26102180876,139128241.660497,78019
1990-12-01,1806.03069459799,138912656.905699,76916
1991-01-01,1819.41857644548,138867122.847201,76325
1991-02-01,1834.39155199501,139074395.514501,75815
1991-03-01,1837.23169784979,139273186.087201,75806
1991-04-01,1830.4598860352,139413316.300099,76163
1991-05-01,1846.91749142969,139493984.292701,75528
1991-06-01,1852.62902567306,139756775.809699,75437
1991-07-01,1861.12882666658,139759608.1097,75094
1991-08-01,1840.3199364542,139989456.926198,76068
1991-09-01,1824.05132058018,139904736.2885,76700
1991-10-01,1834.66067111032,140335029.393899,76491
1991-11-01,1815.0232681272,140633447.8843,77483
1991-12-01,1840.93754284816,140377010.4548,76253
1992-01-01,1836.63824570665,140399974.054799,76444
1992-02-01,1868.86756934016,140178149.773498,75007
1992-03-01,1900.5572850663,140031160.2064,73679
1992-04-01,1880.17953033784,140577263.1243,74768
1992-05-01,1876.67247297484,140855529.1316,75056
1992-06-01,1890.06372222817,140894800.173499,74545
